id,toolname,methods_used_consolidated CLSCor vocab,methods_used_comments
2,conll-u editor,manual annotation,"manually provide labels to text, edit tokenization, sentence splitting, and syntactic relations. Validate your annotation against a scheme"
3,INCEpTION,manual annotation,
4,DraCor,statistical analysis,Give summary statistics of a corpus
4,DraCor,drama analysis,Retrieve structural units and characters of a drama
4,DraCor,network analysis,Extract a character network from a drama. Calculate network metrics
4,DraCor,drama analysis,Retrieve parts of the text
5,IMS Corpus Workbench,linear text search,linear text search with Corpus Query Processor
6,Kontext,linear text search,linear text search with Corpus Query Processor
6,Kontext,frequency distribution,Basic statistics: frequency breakdown according to metadata
6,Kontext,collocations analysis,which words typically co-occur with a given word etc.
7,SimpleCorp,morphological tagging,
7,SimpleCorp,lemmatization,
7,SimpleCorp,tokenization,
7,SimpleCorp,syntactic parsing,
7,SimpleCorp,indexing,"indexing for CQL search, creating and searching an annotated corpus, preserving  XML-TEI markup in documents"
8,TEITOK,tokenization,Recognize borders of tokens
8,TEITOK,sentence splitting,Recognize borders of sentences
8,TEITOK,linear text search,Linear text search with Corpus Query Language and its flavors
8,TEITOK,"
syntactic tree search
",Search in a parsed text corpus (treebank)
8,TEITOK,collocations analysis,Tell which words typically co-occur with a given word
8,TEITOK,statistical analysis,"Various formulas, e.g. give summary statistics of a corpus or selected texts"
8,TEITOK,manual annotation,"Manually annotate your texts, e. g. with named entities"
8,TEITOK,annotation editing,
8,TEITOK,network analysis,Relational extraction from metadata (DraCor etc.) or unstructured text
8,TEITOK,event extraction,
9,TXM desktop,tokenization,Recognize borders of tokens
9,TXM desktop,sentence splitting,Recognize borders of sentences
9,TXM desktop,lemmatization,Give the basic dictionary form of a token
9,TXM desktop,morphological tagging,Determine part of speech and relevant morphological categories
9,TXM desktop,corpus configuration,Build a subcorpus. Build a corpus configuration by selecting a set of texts or a set of text parts
9,TXM desktop,contrastive corpus configuration,Build a partition. Build a contrastive corpus configuration by selecting a set of texts or a set of text parts
9,TXM desktop,linear text search,linear text search with Corpus Query Processor
9,TXM desktop,syntactic tree search,Search in a parsed text corpus (treebank)
9,TXM desktop,coreference chain search,Search in an annotated text corpus (co-reference)
9,TXM desktop,quantification,
9,TXM desktop,concordance analysis,Tabulate the contexts of occurrences of word patterns
9,TXM desktop,qualitative analysis,
9,TXM desktop,progression analysis,Show word patterns occurrences density within the corpus. Visualisation (interactive graphic) showing a density curve for each word pattern searched. Link to concordances
9,TXM desktop,hierarchical index analysis,Tabulate word properties of occurrences of word patterns
9,TXM desktop,syntagmatic analysis,Syntagmatico-Paradigmatic analysis
9,TXM desktop,paradigmatic analysis,Syntagmatico-Paradigmatic analysis
9,TXM desktop,quantitative analysis,
9,TXM desktop,collocations analysis,tell which words typically co-occur with a given word
9,TXM desktop,keyword analysis,"Keywords analysis of a partition or subcorpus, tell which words typically occur within a sub-corpus or inside parts of a partition"
9,TXM desktop,correspondence factor analysis,"Correspondence factor analysis of a partition, e.g. show similarities between texts or structures based on word pattern frequencies. factorial coordinates, contributions, quality of representation"
